Room,Building,,Contract Status Date,,,Class Year,,College,,,
038,SPELMAN,,,"Apr 1, 2013 11:45:38 AM",,2014,UPPER,,,,
038,SPELMAN,,,"Apr 1, 2013 11:45:38 AM",,2014,UPPER,,,,
260,SCULLY,,,"Apr 1, 2013 11:50:57 AM",,2014,UPPER,,,,
075,SPELMAN,,,"Apr 1, 2013 11:51:30 AM",,2014,UPPER,,,,
075,SPELMAN,,,"Apr 1, 2013 11:51:30 AM",,2014,UPPER,,,,
075,SPELMAN,,,"Apr 1, 2013 11:51:30 AM",,2014,UPPER,,,,
075,SPELMAN,,,"Apr 1, 2013 11:51:30 AM",,2015,UPPER,,,,
262,SCULLY,,,"Apr 1, 2013 11:54:49 AM",,2014,UPPER,,,,
071,PATTON,,,"Apr 1, 2013 11:56:24 AM",,2014,UPPER,,,,
101,DOD,,,"Apr 1, 2013 11:58:41 AM",,2014,UPPER,,,,
032,SPELMAN,,,"Apr 1, 2013 12:01:08 PM",,2014,UPPER,,,,
032,SPELMAN,,,"Apr 1, 2013 12:01:08 PM",,2014,UPPER,,,,
032,SPELMAN,,,"Apr 1, 2013 12:01:08 PM",,2014,UPPER,,,,
032,SPELMAN,,,"Apr 1, 2013 12:01:08 PM",,2015,UPPER,,,,
225,LOCKHART,,,"Apr 1, 2013 12:08:53 PM",,2014,UPPER,,,,
224,LOCKHART,,,"Apr 1, 2013 12:09:17 PM",,2014,UPPER,,,,
014,SPELMAN,,,"Apr 1, 2013 12:11:09 PM",,2015,UPPER,,,,
014,SPELMAN,,,"Apr 1, 2013 12:11:09 PM",,2014,UPPER,,,,
014,SPELMAN,,,"Apr 1, 2013 12:11:09 PM",,2014,UPPER,,,,
014,SPELMAN,,,"Apr 1, 2013 12:11:09 PM",,2014,UPPER,,,,
074,SPELMAN,,,"Apr 1, 2013 12:14:58 PM",,2014,UPPER,,,,
074,SPELMAN,,,"Apr 1, 2013 12:14:58 PM",,2014,UPPER,,,,
074,SPELMAN,,,"Apr 1, 2013 12:14:58 PM",,2015,UPPER,,,,
074,SPELMAN,,,"Apr 1, 2013 12:14:58 PM",,2014,UPPER,,,,
104,DOD,,,"Apr 1, 2013 12:15:22 PM",,2014,UPPER,,,,
061,SPELMAN,,,"Apr 1, 2013 12:16:42 PM",,2014,UPPER,,,,
061,SPELMAN,,,"Apr 1, 2013 12:16:42 PM",,2015,UPPER,,,,
061,SPELMAN,,,"Apr 1, 2013 12:16:42 PM",,2015,UPPER,,,,
061,SPELMAN,,,"Apr 1, 2013 12:16:42 PM",,2015,UPPER,,,,
025,SPELMAN,,,"Apr 1, 2013 12:18:05 PM",,2014,UPPER,,,,
025,SPELMAN,,,"Apr 1, 2013 12:18:05 PM",,2015,UPPER,,,,
025,SPELMAN,,,"Apr 1, 2013 12:18:05 PM",,2015,UPPER,,,,
025,SPELMAN,,,"Apr 1, 2013 12:18:05 PM",,2015,UPPER,,,,
168,SCULLY,,,"Apr 1, 2013 12:20:05 PM",,2014,UPPER,,,,
168,SCULLY,,,"Apr 1, 2013 12:20:05 PM",,2014,UPPER,,,,
086,SPELMAN,,,"Apr 1, 2013 12:21:38 PM",,2014,UPPER,,,,
086,SPELMAN,,,"Apr 1, 2013 12:21:38 PM",,2014,UPPER,,,,
086,SPELMAN,,,"Apr 1, 2013 12:21:38 PM",,2014,UPPER,,,,
086,SPELMAN,,,"Apr 1, 2013 12:21:38 PM",,2015,UPPER,,,,
085,SPELMAN,,,"Apr 1, 2013 12:21:46 PM",,2014,UPPER,,,,
085,SPELMAN,,,"Apr 1, 2013 12:21:46 PM",,2014,UPPER,,,,
085,SPELMAN,,,"Apr 1, 2013 12:21:46 PM",,2014,UPPER,,,,
085,SPELMAN,,,"Apr 1, 2013 12:21:46 PM",,2014,UPPER,,,,
103,HENRY,,,"Apr 1, 2013 12:30:48 PM",,2014,UPPER,,,,
016,SPELMAN,,,"Apr 1, 2013 12:35:47 PM",,2014,UPPER,,,,
016,SPELMAN,,,"Apr 1, 2013 12:35:47 PM",,2015,UPPER,,,,
016,SPELMAN,,,"Apr 1, 2013 12:35:47 PM",,2015,UPPER,,,,
016,SPELMAN,,,"Apr 1, 2013 12:35:47 PM",,2015,UPPER,,,,
013,SPELMAN,,,"Apr 1, 2013 12:36:54 PM",,2015,UPPER,,,,
013,SPELMAN,,,"Apr 1, 2013 12:36:54 PM",,2015,UPPER,,,,
013,SPELMAN,,,"Apr 1, 2013 12:36:54 PM",,2015,UPPER,,,,
013,SPELMAN,,,"Apr 1, 2013 12:36:54 PM",,2015,UPPER,,,,
303,LOCKHART,,,"Apr 1, 2013 12:38:52 PM",,2014,UPPER,,,,
081,SPELMAN,,,"Apr 1, 2013 12:41:18 PM",,2015,UPPER,,,,
081,SPELMAN,,,"Apr 1, 2013 12:41:18 PM",,2015,UPPER,,,,
081,SPELMAN,,,"Apr 1, 2013 12:41:18 PM",,2015,UPPER,,,,
081,SPELMAN,,,"Apr 1, 2013 12:41:18 PM",,2015,UPPER,,,,
047,SPELMAN,,,"Apr 1, 2013 12:46:29 PM",,2014,UPPER,,,,
047,SPELMAN,,,"Apr 1, 2013 12:46:29 PM",,2014,UPPER,,,,
047,SPELMAN,,,"Apr 1, 2013 12:46:29 PM",,2014,UPPER,,,,
047,SPELMAN,,,"Apr 1, 2013 12:46:29 PM",,2014,UPPER,,,,
051,SPELMAN,,,"Apr 1, 2013 12:54:57 PM",,2014,UPPER,,,,
051,SPELMAN,,,"Apr 1, 2013 12:54:57 PM",,2015,UPPER,,,,
051,SPELMAN,,,"Apr 1, 2013 12:54:57 PM",,2014,UPPER,,,,
051,SPELMAN,,,"Apr 1, 2013 12:54:57 PM",,2014,UPPER,,,,
083,SPELMAN,,,"Apr 1, 2013 12:57:30 PM",,2014,UPPER,,,,
083,SPELMAN,,,"Apr 1, 2013 12:57:30 PM",,2014,UPPER,,,,
083,SPELMAN,,,"Apr 1, 2013 12:57:30 PM",,2015,UPPER,,,,
083,SPELMAN,,,"Apr 1, 2013 12:57:30 PM",,2015,UPPER,,,,
172,SCULLY,,,"Apr 1, 2013 12:58:45 PM",,2014,UPPER,,,,
172,SCULLY,,,"Apr 1, 2013 12:58:45 PM",,2015,UPPER,,,,
067,SPELMAN,,,"Apr 1, 2013 12:58:49 PM",,2015,UPPER,,,,
067,SPELMAN,,,"Apr 1, 2013 12:58:49 PM",,2015,UPPER,,,,
067,SPELMAN,,,"Apr 1, 2013 12:58:49 PM",,2015,UPPER,,,,
