0056 220	31	20
0056 223	18	11
0056 231	27	4
0056 301	37	4
0056 302	21	3
0056 303	12	2
0056 304	11	7
0056 305	8	1
0056 312	88	13
0056 313	4	3
0056 319	5	4
0056 324	3	2
0056 327	2	1
0056 331	7	2
0056 332	65	5
0059 213	65	8
0059 214	64	7
0059 225	39	5
0059 231	96	11
0059 234	14	13
0059 235	13	12
0059 311	24	1
0059 312	36	29
0059 313	117	3
0059 321	116	29
0059 323	118	4
0059 331	41	32
0059 332	6	5
0059 333	15	14
0059 334	66	46
0059 412	20	17
0059 422	22	19
0059 433	3	2
0071 411	80	73
0071 412	131	106
0071 413	162	121
0071 414	163	122
0071 415	160	120
0071 421	155	119
0071 422	145	112
0071 423	164	123
0071 424	153	118
0071 425	152	117
0071 511	141	109
0071 514	150	116
0071 521	143	110
0071 522	144	111
0071 524	133	107
0071 611	147	113
0071 621	148	114
0071 624	87	79
0071 625	149	115
0091 103	63	44
0091 104	61	42
0091 105	75	53
0091 122	25	16
0091 131	84	6
0091 201	29	19
0091 202	59	41
0091 203	76	54
0091 204	50	32
0091 205	62	43
0091 206	51	33
0091 216	28	18
0091 226	58	40
0092 112	42	26
0092 113	83	57
0092 121	81	1
0092 132	89	14
0092 211	49	1
0092 212	48	31
0092 213	82	56
0092 214	45	29
0092 215	38	23
0092 222	57	39
0092 225	39	24
0092 233	68	47
0092 234	67	46
0092 235	66	6
0093 115	15	9
0093 126	43	27
0093 222	44	28
0093 232	16	10
0093 331	60	1
0093 335	64	45
0093 337	23	14
0093 338	85	58
0093 339	74	52
0093 340	72	50
0093 341	73	51
0093 342	71	49
0093 343	70	48
0094 116	41	25
0094 121	17	1
0094 122	56	38
0094 201	53	35
0094 202	55	37
0094 203	54	36
0094 204	87	1
0094 212	24	15
0094 226	34	21
0094 227	35	22
0095 101	69	5
0095 114	79	55
0095 116	47	30
0095 117	26	17
0095 130	52	34
0148 107	106	46
0148 108	135	71
0148 109	120	59
0148 110	110	50
0148 111	108	48
0148 125	96	2
0148 126	19	12
0148 131	115	54
0148 132	122	61
0148 133	38	22
0148 134	39	23
0148 135	35	20
0148 136	37	21
0148 137	137	73
0148 138	121	60
0148 142	80	47
0148 145	87	52
0148 147	53	33
0148 148	83	49
0148 149	88	53
0148 150	84	50
0148 151	26	11
0148 152	27	15
0148 152	28	12
0148 152	81	48
0148 152	82	31
0148 153	29	13
0148 154	24	14
0148 154	25	10
0148 154	56	35
0148 154	57	21
0148 155	17	11
0148 155	18	6
0148 155	54	34
0148 155	55	20
0148 156	67	38
0148 156	68	1
0148 156	78	46
0148 156	79	2
0148 206	103	43
0148 207	107	47
0148 208	111	51
0148 209	116	55
0148 210	91	34
0148 211	102	42
0148 217	61	24
0148 218	62	25
0148 219	20	7
0148 220	21	8
0148 221	22	9
0148 231	105	45
0148 232	129	65
0148 234	100	40
0148 234	123	62
0148 234	124	63
0148 234	99	39
0148 235	64	27
0148 236	134	70
0148 237	63	26
0148 237	95	37
0148 238	133	69
0148 239	101	41
0148 242	69	39
0148 244	72	42
0148 245	70	40
0148 246	71	41
0148 247	73	43
0148 248	66	37
0148 249	74	44
0148 250	52	32
0148 251	13	4
0148 252	58	36
0148 252	59	22
0148 252	76	45
0148 252	77	30
0148 253	60	23
0148 254	14	9
0148 254	15	5
0148 254	50	31
0148 254	51	19
0148 255	11	8
0148 255	12	3
0148 255	33	19
0148 255	34	14
0148 256	44	27
0148 257	40	24
0148 258	23	13
0148 259	43	26
0148 260	47	29
0148 261	41	25
0148 261	42	16
0148 261	85	51
0148 261	86	32
0148 262	94	36
0148 263	45	28
0148 263	46	17
0148 263	92	55
0148 263	93	35
0148 264	65	28
0148 265	104	44
0148 266	48	30
0148 266	49	18
0148 266	97	56
0148 266	98	38
0148 267	90	33
0148 268	30	16
0148 268	89	54
0148 270	31	17
0148 301	32	18
0148 303	125	3
0148 304	16	10
0148 306	4	3
0148 307	7	5
0148 308	1	1
0148 319	5	4
0148 321	36	15
0148 322	8	6
0148 323	10	1
0148 323	126	58
0148 323	127	4
0148 323	9	7
0148 324	75	29
0148 327	113	57
0148 327	114	53
0148 327	2	2
0148 327	3	1
0148 328	142	78
0148 328	6	2
0148 331	117	56
0148 331	118	57
0148 332	138	74
0148 334	141	77
0148 336	140	76
0148 338	139	75
0148 377	109	49
0148 378	143	79
0148 427	119	58
0148 428	136	72
0148 431	112	52
0148 432	130	66
0148 434	128	64
0148 436	131	67
0148 438	132	68
0153 011	49	49
0153 012	7	7
0153 013	34	34
0153 014	6	6
0153 015	41	41
0153 016	36	36
0153 017	43	43
0153 018	48	48
0153 021	17	17
0153 022	10	10
0153 023	5	5
0153 024	9	9
0153 025	28	28
0153 026	26	26
0153 032	37	37
0153 034	4	4
0153 035	21	21
0153 036	20	20
0153 037	24	24
0153 038	23	23
0153 045	16	16
0153 046	11	11
0153 047	40	40
0153 048	32	32
0153 051	31	31
0153 052	30	30
0153 053	12	12
0153 054	8	8
0153 055	33	33
0153 056	1	1
0153 061	45	45
0153 063	13	13
0153 064	14	14
0153 065	18	18
0153 066	22	22
0153 067	29	29
0153 068	42	42
0153 071	38	38
0153 073	39	39
0153 074	47	47
0153 075	2	2
0153 076	3	3
0153 077	50	50
0153 078	44	44
0153 081	35	35
0153 082	19	19
0153 083	15	15
0153 084	25	25
0153 085	27	27
0153 086	46	46
0162 301	33	5
0162 401	30	3
0162 402	32	4
0164 111	77	9
0164 112	46	8
0164 121	86	12
0164 122	1	1
0164 131	22	2
0164 132	13	1
0164 135	80	11
0164 201	36	6
0164 202	40	7
0164 212	78	10
0164 232	9	3
0603 101	457	56
0603 102	172	12
0603 104	465	328
0603 106	479	336
0603 107	575	42
0603 108	421	307
0603 110	422	308
0603 121	61	40
0603 122	70	15
0603 123	63	42
0603 124	218	155
0603 125	64	43
0603 126	217	154
0603 127	65	44
0603 128	464	327
0603 130	463	326
0603 131	60	39
0603 133	62	41
0603 136	454	320
0603 138	453	319
0603 140	323	15
0603 142	534	359
0603 144	317	234
0603 147	481	62
0603 148	291	214
0603 149	564	88
0603 150	290	213
0603 153	549	85
0603 156	298	221
0603 158	299	222
0603 160	31	25
0603 162	41	33
0603 164	114	23
0603 168	19	4
0603 170	57	9
0603 171	92	70
0603 172	50	7
0603 173	105	77
0603 174	39	5
0603 201	577	89
0603 202	224	13
0603 207	554	39
0603 213	251	183
0603 215	256	187
0603 221	79	50
0603 222	171	30
0603 223	423	309
0603 224	311	231
0603 226	313	232
0603 231	39	24
0603 232	503	345
0603 233	40	25
0603 234	167	113
