Room 	Date/Time Drawn
1981 F025	Apr 11, 2017 9:41:43 AM
1981 F102	Apr 11, 2017 9:41:44 AM
LITTLE 311	Apr 11, 2017 9:42:05 AM
1981 F019	Apr 11, 2017 9:42:13 AM
1981 F015	Apr 11, 2017 9:42:59 AM
1981 F027	Apr 11, 2017 9:43:00 AM
WILF E104	Apr 11, 2017 9:43:52 AM
BLOOMBERG 348	Apr 11, 2017 9:46:15 AM
JOLINE 212	Apr 11, 2017 9:46:54 AM
HARGADON G309	Apr 11, 2017 9:49:20 AM
1967 B305	Apr 11, 2017 9:50:30 AM
EDWARDS 104	Apr 11, 2017 9:55:28 AM
BLOOMBERG 250	Apr 11, 2017 9:56:39 AM
JOLINE 213	Apr 11, 2017 9:58:49 AM
1981 F023	Apr 11, 2017 10:01:14 AM
BLOOMBERG 308	Apr 11, 2017 10:07:40 AM
MURLEY T403	Apr 11, 2017 10:08:36 AM
EDWARDS 109	Apr 11, 2017 10:09:15 AM
BLOOMBERG 112	Apr 11, 2017 10:14:29 AM
1981 F101	Apr 11, 2017 10:15:39 AM
EDWARDS 113	Apr 11, 2017 10:16:19 AM
EDWARDS 108	Apr 11, 2017 10:16:21 AM
1915 613	Apr 11, 2017 10:18:42 AM
WENDELL B309	Apr 11, 2017 10:20:36 AM
BLOOMBERG 302	Apr 11, 2017 10:20:41 AM
WENDELL C212	Apr 11, 2017 10:22:52 AM
WENDELL C210	Apr 11, 2017 10:22:59 AM
1967 B309	Apr 11, 2017 10:24:02 AM
EDWARDS 111	Apr 11, 2017 10:28:50 AM
WILF E106	Apr 11, 2017 10:29:07 AM
WENDELL C208	Apr 11, 2017 10:30:55 AM
BLOOMBERG 301	Apr 11, 2017 10:33:31 AM
BLOOMBERG 310	Apr 11, 2017 10:35:55 AM
BLOOMBERG 322	Apr 11, 2017 10:39:49 AM
YOSELOFF A207	Apr 11, 2017 10:39:51 AM
HARGADON G401	Apr 11, 2017 10:40:08 AM
WENDELL B216	Apr 11, 2017 10:44:12 AM
JOLINE 311	Apr 11, 2017 10:45:01 AM
HAMILTON 324	Apr 11, 2017 10:45:13 AM
WILF E107	Apr 11, 2017 10:46:18 AM
BLOOMBERG 403	Apr 11, 2017 10:47:21 AM
WENDELL B210	Apr 11, 2017 10:54:25 AM
HARGADON G403	Apr 11, 2017 10:59:15 AM
BLAIR 114	Apr 11, 2017 10:59:26 AM
HARGADON G404	Apr 11, 2017 10:59:27 AM
BLOOMBERG 340	Apr 11, 2017 11:00:34 AM
BLOOMBERG 341	Apr 11, 2017 11:00:47 AM
BLOOMBERG 344	Apr 11, 2017 11:00:52 AM
BLOOMBERG 325	Apr 11, 2017 11:01:36 AM
BLOOMBERG 326	Apr 11, 2017 11:01:57 AM
WENDELL B417	Apr 11, 2017 11:02:47 AM
JOLINE 234	Apr 11, 2017 11:04:29 AM
BAKER E317	Apr 11, 2017 11:08:43 AM
EDWARDS 105	Apr 11, 2017 11:09:12 AM
BLOOMBERG 346	Apr 11, 2017 11:12:03 AM
BLOOMBERG 381	Apr 11, 2017 11:12:34 AM
1981 F218	Apr 11, 2017 11:12:41 AM
EDWARDS 110	Apr 11, 2017 11:14:42 AM
LAURITZEN D114	Apr 11, 2017 11:16:31 AM
HARGADON G311	Apr 11, 2017 11:20:31 AM
BLOOMBERG 307	Apr 11, 2017 11:23:31 AM
BLOOMBERG 244	Apr 11, 2017 11:23:37 AM
WENDELL B419	Apr 11, 2017 11:23:42 AM
1981 F026	Apr 11, 2017 11:24:41 AM
WENDELL C209	Apr 11, 2017 11:26:19 AM
LITTLE 071	Apr 11, 2017 11:27:05 AM
JOLINE 312	Apr 11, 2017 11:27:42 AM
LITTLE 381	Apr 11, 2017 11:28:22 AM
LITTLE 393	Apr 11, 2017 11:28:48 AM
YOSELOFF A105	Apr 11, 2017 11:34:38 AM
BAKER E205	Apr 11, 2017 11:45:16 AM
WENDELL B408	Apr 11, 2017 11:47:17 AM
HARGADON G203A	Apr 11, 2017 11:48:57 AM
HARGADON G304A	Apr 11, 2017 11:52:28 AM
BLOOMBERG 405	Apr 11, 2017 11:52:43 AM
BLOOMBERG 457	Apr 11, 2017 11:52:43 AM
BLOOMBERG 427	Apr 11, 2017 11:53:10 AM
BLOOMBERG 408	Apr 11, 2017 11:58:38 AM
BLOOMBERG 404	Apr 11, 2017 11:58:44 AM
BLOOMBERG 316	Apr 11, 2017 12:03:09 PM
WENDELL C211	Apr 11, 2017 12:03:42 PM
WENDELL C213	Apr 11, 2017 12:03:43 PM
WENDELL B204	Apr 11, 2017 12:06:43 PM
LITTLE 391	Apr 11, 2017 12:15:08 PM
WENDELL B316	Apr 11, 2017 12:22:11 PM
BLOOMBERG 339	Apr 11, 2017 12:25:44 PM
BLOOMBERG 338	Apr 11, 2017 12:25:45 PM
BLOOMBERG 177	Apr 11, 2017 12:36:49 PM
BLOOMBERG 193	Apr 11, 2017 12:47:10 PM
JOLINE 331	Apr 11, 2017 1:17:49 PM
BAKER S102	Apr 11, 2017 3:50:43 PM
FORBES 106	Apr 12, 2017 9:00:30 AM
1938 212	Apr 12, 2017 9:01:01 AM
FORBES 305	Apr 12, 2017 9:01:05 AM
FORBES 112	Apr 12, 2017 9:01:23 AM
1927 132	Apr 12, 2017 9:02:35 AM
FORBES 255	Apr 12, 2017 9:03:51 AM
WALKER 327	Apr 12, 2017 9:08:58 AM
WALKER 214	Apr 12, 2017 9:11:44 AM
FORBES 328	Apr 12, 2017 9:13:30 AM
FORBES 329	Apr 12, 2017 9:14:19 AM
FORBES 254	Apr 12, 2017 9:14:40 AM
1927 122	Apr 12, 2017 9:15:31 AM
FORBES A158	Apr 12, 2017 9:21:57 AM
WALKER 319	Apr 12, 2017 9:23:10 AM
FORBES 301	Apr 12, 2017 9:23:36 AM
FORBES 302	Apr 12, 2017 9:23:41 AM
FORBES 154	Apr 12, 2017 9:23:51 AM
FORBES 155	Apr 12, 2017 9:23:55 AM
1927 121	Apr 12, 2017 9:24:56 AM
WALKER 213	Apr 12, 2017 9:25:12 AM
FORBES A155	Apr 12, 2017 9:27:04 AM
FORBES 251	Apr 12, 2017 9:37:18 AM
FORBES 304	Apr 12, 2017 9:37:25 AM
FORBES 303	Apr 12, 2017 9:37:27 AM
FORBES 151	Apr 12, 2017 9:38:59 AM
1939 331	Apr 12, 2017 9:40:19 AM
FORBES 224N	Apr 12, 2017 9:51:58 AM
FORBES A258	Apr 12, 2017 9:52:41 AM
FORBES A268	Apr 12, 2017 9:54:06 AM
FEINBERG 302	Apr 12, 2017 9:57:08 AM
DODGE OSBORN 212	Apr 12, 2017 9:57:29 AM
FEINBERG 301	Apr 12, 2017 9:58:02 AM
WALKER 324	Apr 12, 2017 9:58:12 AM
DODGE OSBORN 204	Apr 12, 2017 9:58:36 AM
FORBES A270	Apr 12, 2017 9:58:48 AM
1938 235	Apr 12, 2017 10:00:46 AM
FORBES A157	Apr 12, 2017 10:02:25 AM
CLAPP 232	Apr 12, 2017 10:03:16 AM
FORBES A147	Apr 12, 2017 10:04:55 AM
FORBES 262	Apr 12, 2017 10:05:31 AM
FORBES 261	Apr 12, 2017 10:05:31 AM
GAUSS 117	Apr 12, 2017 10:06:36 AM
1927 111	Apr 12, 2017 10:12:29 AM
WALKER 332	Apr 12, 2017 10:12:34 AM
GAUSS 130	Apr 12, 2017 10:12:43 AM
