0021 311	1	Mathey	Pub	3	131	Yes	28	25	90	56
0021 313	1	Mathey	Pub	3	110	Yes	111	76	102	64
0021 318	1	Mathey	Pub	3	159	Yes	9	8	10	8
0021 321	1	Mathey	Pub	3	111	Yes	83	61	121	75
0021 323	1	Mathey	Pub	3	127	Yes	33	28	44	36
0021 325	1	Mathey	Pub	3	118	Yes	82	60	116	71
0021 327	1	Mathey	Pub	3	118	Yes	81	59	117	72
0021 329	4	Mathey	Pub	3	742	Yes	84	11	88	16
0021 381	4	Mathey	Pub	3	710	No	36	1	60	4
0021 385	1	Mathey	Pub	3	207	No	11	10	8	6
0021 387	1	Mathey	Pub	3	137	No	50	41	91	57
0021 389	1	Mathey	Pub	3	140	No	40	33	13	11
0021 391	1	Mathey	Pub	3	140	No	41	34	49	39
0021 393	1	Mathey	Pub	3	141	No	32	27	31	25
0021 395	1	Mathey	Pub	3	230	No	6	5	7	5
0021 399	4	Upperclass	Pub	3	776	No	117	8	212	12
0021 401	4	Mathey	Pub	4	550	Yes	68	9	107	22
0021 A10	2	Independent	Pub	A	309	No	56	8	106	21
0021 A14	4	Independent	Pub	A	522	No	104	6	55	5
0021 A16	2	Independent	Pub	A	404	No	58	10	56	7
0021 A20	2	Independent	Pub	A	328	No	103	18	94	14
0021 A24	1	Independent	Pub	A	189	No	12	11	14	13
0021 A28	2	Independent	Pub	A	420	No	64	12	90	13
0021 A34	1	Independent	Pub	A	228	No	11	10	9	8
0021 A36	1	Independent	Pub	A	201	No	6	5	15	14
0021 A38	4	Independent	Pub	A	548	No	117	9	111	7
0021 A40	4	Upperclass	Pub	A	562	No	543	36	578	40
0021 A46	2	Upperclass	Pub	A	444	No	429	53	259	49
0021 A48	4	Upperclass	Pub	A	529	No	591	45	656	49
0021 A54	4	Upperclass	Pub	A	501	No	691	83	736	81
0021 A56	4	Upperclass	Pub	A	610	No	438	23	506	36
0023 030	3	Upperclass	Pub	1	428	No	581	66	657	75
0023 040	6	Upperclass	Pub	1	835	No	284	4	302	5
0023 041	6	Upperclass	Pub	2	859	No	319	5	158	3
0023 060	4	Upperclass	Pub	0	574	No	621	56	428	23
0023 061	3	Upperclass	Pub	1	437	No	520	53	531	48
0023 062	3	Upperclass	Pub	2	449	No	359	30	467	41
0023 063	3	Upperclass	Pub	2	430	No	254	16	642	70
0023 070	1	Independent	Pub	0	190	No	83	61	86	68
0023 071	1	Independent	Pub	0	165	No	20	16	21	19
0023 072	3	Upperclass	Pub	1	455	No	415	37	521	45
0023 073	3	Upperclass	Pub	1	443	No	602	71	522	46
0023 074	1	Upperclass	Pub	2	192	No	88	57	81	51
0023 075	2	Upperclass	Pub	2	313	No	112	21	80	16
0023 076	3	Upperclass	Pub	2	457	No	178	12	426	37
0023 080	3	Independent	Pub	0	456	No	48	2	100	4
0023 081	3	Independent	Pub	0	435	No	108	5	117	9
0023 082	4	Independent	Pub	1	669	No	34	2	52	4
0023 083	1	Independent	Pub	1	192	No	71	49	75	60
0023 084	1	Independent	Pub	1	139	No
0023 085	1	Independent	Pub	1	136	No	46	38
0023 086	1	Independent	Pub	1	155	No	26	21	12	11
0023 087	3	Upperclass	Pub	2	472	No	152	9	105	7
0023 088	2	Upperclass	Pub	2	242	No	521	78	529	84
0023 089	1	Upperclass	Pub	2	192	No	87	56	202	133
0023 090	3	Independent	Pub	0	431	No	122	10	113	6
0023 307	6	Upperclass	Pub	3	873	No	80	2	55	2
0023 308	2	Upperclass	Pub	3	327	No	398	46	290	51
0023 309	1	Upperclass	Pub	3	152	No	206	144	319	215
0023 310	1	Upperclass	Pub	3	170	No	119	79	54	34
0023 311	2	Upperclass	Pub	3	347	No	72	16	69	14
0023 312	2	Upperclass	Pub	3	284	No	484	64	540	87
0023 313	1	Upperclass	Pub	3	234	No	4	1	2	2
0023 408	6	Upperclass	Pub	4	868	No	159	3	172	4
0023 T01	3	Independent	Pub	0	395	No	121	9	112	5
0023 T02	1	Independent	Pub	0	154	No	85	63	85	67
0023 T03	3	Upperclass	Pub	1	419	No	556	62	421	36
0023 T04	1	Upperclass	Pub	1	184	No	89	58	218	144
0023 T05	1	Upperclass	Pub	1	195	No	90	59	86	54
0023 T06	3	Upperclass	Pub	2	442	No	258	17	367	31
0023 T07	1	Upperclass	Pub	2	186	No	53	34	219	145
0023 T09	1	Upperclass	Pub	2	155	No	255	186	220	146
